time,A,B,C,D,E
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0.005
72,0,0,0,0,0.005
73,0,0,0,0,0.01
74,0,0.005,0,0,0.015
75,0.04,0.01,0.04,0.02,0.015
76,0.04,0.03,0.04,0.06,0.03
77,0.06,0.05,0.06,0.08,0.055
78,0.1,0.07,0.14,0.14,0.1
79,0.12,0.105,0.16,0.2,0.15
80,0.22,0.165,0.22,0.26,0.22
81,0.32,0.265,0.28,0.4,0.33
82,0.34,0.41,0.38,0.52,0.5
83,0.52,0.59,0.54,0.72,0.74
84,0.64,0.775,0.74,0.96,1
85,0.92,1.09,1.02,1.32,1.255
86,1.04,1.475,1.3,1.72,1.545
87,1.18,1.82,1.66,2.06,1.935
88,1.44,2.21,2.14,2.3,2.37
89,1.7,2.505,2.52,2.68,2.745
90,2.12,2.89,2.82,2.92,3.23
91,2.52,3.27,3.26,3.54,3.705
92,2.82,3.75,3.6,4,4.07
93,3.02,4.205,4.02,4.56,4.515
94,3.3,4.615,4.42,4.84,4.97
95,3.52,5.04,5,5.34,5.5
96,3.92,5.52,5.32,5.76,5.99
97,4.36,5.96,5.82,6.24,6.44
98,4.58,6.38,6.22,6.52,6.91
99,4.92,6.84,6.78,7.1,7.37
100,5.24,7.27,7.12,7.6,7.865
101,5.48,7.82,7.56,8.24,8.455
102,5.86,8.32,8.04,8.8,8.89
103,6.2,8.86,8.68,9.34,9.38
104,6.64,9.265,9.22,9.7,9.995
105,7.08,9.71,9.74,10.34,10.55
106,7.38,10.13,10.26,10.82,11.045
107,7.68,10.665,10.82,11.4,11.605
108,8.08,11.215,11.4,11.9,12.13
109,8.5,11.725,11.88,12.52,12.63
110,8.78,12.27,12.6,13.22,13.18
111,9.18,12.765,12.98,13.68,13.84
112,9.56,13.3,13.5,14.16,14.385
113,10,13.775,14.02,14.8,14.94
114,10.38,14.26,14.58,15.3,15.58
115,10.66,14.745,15.18,16.04,16.03
116,11.1,15.19,15.84,16.58,16.6
117,11.4,15.72,16.22,16.98,17.165
118,11.74,16.18,16.74,17.54,17.66
119,11.96,16.74,17.06,18,18.285
120,12.24,17.315,17.74,18.44,18.905
121,12.62,17.765,18.28,18.94,19.465
122,13.06,18.2,18.78,19.58,20.03
123,13.42,18.645,19.48,20.08,20.57
124,13.8,19.165,20.24,20.9,21.13
125,14.24,19.625,20.72,21.6,21.77
126,14.56,20.06,21.22,22.2,22.32
127,14.8,20.59,21.76,22.72,22.905
128,15.12,21.13,22.2,23.08,23.44
129,15.38,21.665,22.74,23.52,23.99
130,15.82,22.19,23.34,24.12,24.55
131,16.12,22.78,23.8,24.76,25.135
132,16.6,23.205,24.42,25.48,25.71
133,17,23.59,24.94,25.9,26.35
134,17.46,24.005,25.56,26.44,26.865
135,17.86,24.525,26.02,27.06,27.385
136,18.12,25.07,26.48,27.54,27.93
137,18.48,25.555,27.14,28.2,28.515
138,18.8,26.075,27.74,28.82,29.22
139,19.26,26.615,28.22,29.36,29.79
140,19.6,27.06,28.68,30.02,30.26
141,20,27.55,29.2,30.54,30.785
142,20.28,28.095,29.8,31.04,31.435
143,20.74,28.54,30.28,31.54,32.1
144,21.1,29.05,30.9,32.28,32.54
145,21.44,29.44,31.4,32.74,33.08
146,21.78,29.975,32.16,33.32,33.625
147,22.12,30.495,32.72,33.78,34.23
148,22.4,30.935,33.16,34.26,34.835
149,22.88,31.455,33.82,34.78,35.4
150,23.24,31.985,34.38,35.44,35.965
151,23.52,32.61,34.86,36,36.5
152,23.92,33.03,35.5,36.54,37.025
153,24.26,33.5,36.12,37.04,37.62
154,24.58,33.965,36.82,37.64,38.23
155,25.02,34.47,37.24,38.16,38.73
156,25.36,34.93,37.68,38.74,39.37
157,25.72,35.515,38,39.18,39.91
158,25.96,35.945,38.52,39.8,40.44
159,26.28,36.38,39.12,40.44,41.06
160,26.62,36.865,39.76,41,41.565
161,27.02,37.315,40.26,41.52,42.085
162,27.36,37.9,40.88,42.06,42.64
163,27.72,38.38,41.5,42.62,43.175
164,28.04,38.89,42.32,43.16,43.795
165,28.42,39.385,42.76,43.78,44.335
166,28.8,39.875,43.16,44.24,44.945
167,29.32,40.39,43.64,44.86,45.435
168,29.62,40.8,44.32,45.42,46.03
169,29.94,41.265,44.8,46.16,46.57
170,30.26,41.735,45.4,46.82,47.225
171,30.72,42.315,46,47.46,47.895
172,31.16,42.85,46.62,47.94,48.44
173,31.44,43.345,47.26,48.36,49.04
174,31.78,43.71,47.7,48.82,49.555
175,32.08,44.265,48.08,49.32,50.065
176,32.42,44.77,48.84,50.1,50.625
177,32.84,45.32,49.44,50.74,51.185
178,33.2,45.765,49.9,51.16,51.86
179,33.4,46.305,50.56,51.76,52.42
180,33.84,46.82,51.16,52.4,52.99
181,34.18,47.26,51.64,52.9,53.54
182,34.52,47.72,52.28,53.4,54
183,34.9,48.175,52.74,53.86,54.65
184,35.24,48.695,53.2,54.52,55.23
185,35.62,49.28,53.98,55.12,55.75
186,36,49.785,54.54,55.68,56.285
187,36.4,50.28,55.12,56.3,56.915
188,36.72,50.735,55.58,56.78,57.525
189,37.12,51.28,56.24,57.38,58.11
190,37.42,51.805,56.66,57.82,58.625
191,37.76,52.33,57.34,58.36,59.17
192,38.26,52.805,57.88,58.88,59.655
193,38.64,53.27,58.36,59.44,60.305
194,38.94,53.725,59.08,59.98,60.895
195,39.22,54.23,59.56,60.54,61.455
196,39.68,54.675,60.18,61.18,62.03
197,40.06,55.155,60.6,61.72,62.635
198,40.32,55.625,61.1,62.26,63.115
199,40.62,56.165,61.76,62.88,63.685
200,40.96,56.725,62.34,63.4,64.16
201,41.42,57.22,62.82,63.96,64.835
202,41.92,57.74,63.48,64.38,65.45
203,42.18,58.225,63.98,64.84,65.91
204,42.54,58.765,64.64,65.42,66.545
205,42.98,59.275,65.12,66.04,67.175
206,43.24,59.84,65.64,66.76,67.71
207,43.64,60.405,66.22,67.34,68.205
208,43.96,60.805,66.82,67.92,68.8
209,44.34,61.375,67.48,68.36,69.38
210,44.84,61.85,67.98,68.9,69.905
211,45.14,62.355,68.42,69.42,70.475
212,45.54,62.8,68.88,69.92,71.06
213,45.8,63.22,69.52,70.58,71.715
214,46.2,63.635,70.1,71.36,72.27
215,46.48,64.185,70.68,71.74,72.855
216,46.88,64.66,71.12,72.06,73.36
217,47.3,65.26,71.68,72.7,73.995
218,47.64,65.74,72.3,73.36,74.565
219,47.9,66.14,72.8,74.06,75.14
220,48.26,66.615,73.16,74.56,75.645
221,48.7,67.145,73.64,75.12,76.18
222,49.04,67.66,74.38,75.64,76.715
223,49.46,68.1,74.9,76,77.31
224,49.72,68.62,75.5,76.68,78
225,50.14,69.09,75.84,77.22,78.55
226,50.6,69.595,76.38,77.96,79.185
227,51,70.07,77.04,78.5,79.72
228,51.32,70.555,77.56,79.04,80.18
229,51.68,71.06,78.14,79.68,80.695
230,52.06,71.585,78.56,80.14,81.28
231,52.34,72.08,79.28,80.56,81.815
232,52.74,72.575,79.74,81.32,82.365
233,53.1,73.075,80.28,81.8,83.02
234,53.44,73.565,81,82.5,83.625
235,53.82,74.135,81.5,82.98,84.17
236,54.18,74.475,81.98,83.58,84.735
237,54.6,75.02,82.54,84.18,85.265
238,55.1,75.55,83,84.7,85.795
239,55.38,76.12,83.48,85.18,86.385
240,55.52,76.625,83.94,85.54,86.98
241,55.88,77.08,84.58,86.08,87.48
242,56.24,77.57,85.24,86.66,88.105
243,56.72,78.03,85.7,87.24,88.66
244,56.98,78.53,86.12,88.06,89.275
245,57.42,78.985,86.82,88.58,89.83
246,57.76,79.495,87.56,89.16,90.395
247,58.12,80.015,88.16,89.62,90.96
248,58.52,80.465,88.76,90.2,91.555
249,58.82,80.935,89.28,90.7,92.09
250,59.14,81.525,89.84,91.18,92.6
251,59.54,82.01,90.3,91.66,93.175
252,60.04,82.575,91.02,92.22,93.695
253,60.24,82.99,91.48,92.78,94.245
254,60.5,83.505,91.92,93.32,94.86
255,60.92,84.04,92.4,93.82,95.465
256,61.34,84.55,92.96,94.46,96.02
257,61.7,85.025,93.68,95.1,96.52
258,61.92,85.465,94.2,95.68,97.155
259,62.2,86.08,94.8,96.4,97.64
260,62.6,86.59,95.4,96.88,98.195
261,63.02,87.16,96.04,97.42,98.76
262,63.36,87.61,96.48,98.02,99.325
263,63.66,88.14,97,98.46,100.015
264,64.04,88.615,97.46,99.04,100.675
265,64.44,89.055,98.1,99.62,101.18
266,64.92,89.535,98.86,100.28,101.72
267,65.2,90.07,99.58,100.8,102.245
268,65.58,90.635,99.98,101.5,102.805
269,65.86,91.15,100.48,101.9,103.46
270,66.08,91.645,100.92,102.5,104.065
271,66.36,92.165,101.6,102.94,104.575
272,66.8,92.635,102.28,103.7,105.225
273,67.24,93.155,102.76,104.16,105.76
274,67.64,93.635,103.42,104.68,106.365
275,68.08,94.135,103.98,105.22,106.965
276,68.34,94.61,104.48,105.76,107.425
277,68.8,95.125,104.92,106.42,108.02
278,68.92,95.74,105.42,106.86,108.63
279,69.24,96.315,105.94,107.42,109.26
280,69.5,96.855,106.6,107.96,109.805
281,70.02,97.365,107.42,108.52,110.355
282,70.38,97.77,107.88,109.16,110.92
283,70.8,98.32,108.44,109.54,111.56
284,71.2,98.875,109,110.24,112.085
285,71.5,99.365,109.52,110.8,112.675
286,71.86,99.895,110.04,111.34,113.2
287,72.08,100.395,110.52,111.94,113.775
288,72.42,100.94,111.14,112.34,114.295
289,72.8,101.335,111.82,112.94,114.9
290,73.12,101.825,112.5,113.66,115.5
291,73.7,102.365,113.04,114.14,115.945
292,74.08,102.935,113.46,114.72,116.59
293,74.32,103.43,114.18,115.34,117.23
294,74.6,103.975,114.66,115.84,117.805
295,75.04,104.46,115.2,116.38,118.365
296,75.42,104.895,115.6,117.02,118.935
297,75.78,105.47,116.16,117.56,119.465
298,76.08,105.875,116.76,118,120.02
299,76.5,106.445,117.36,118.46,120.635
300,76.82,106.995,118.08,118.94,121.11
301,77.22,107.51,118.54,119.56,121.63
302,77.56,108.04,119.04,120.04,122.13
303,77.84,108.57,119.62,120.72,122.695
304,78.2,109.015,120.2,121.2,123.33
305,78.46,109.57,120.76,121.78,123.845
306,78.86,110.08,121.38,122.44,124.335
307,79.18,110.63,121.8,123.02,124.83
308,79.68,111.105,122.56,123.5,125.375
309,80.12,111.515,123.18,124.14,125.98
310,80.48,112.035,123.76,124.64,126.485
311,80.84,112.655,124.28,125.24,127.1
312,81.1,113.2,124.74,125.72,127.575
313,81.46,113.685,125.34,126.18,128.015
314,81.64,114.17,125.78,126.74,128.625
315,82.12,114.65,126.4,127.2,129.11
316,82.64,115.13,126.92,127.72,129.645
317,82.98,115.545,127.48,128.24,130.185
318,83.32,116.09,128.04,128.76,130.66
319,83.7,116.69,128.64,129.36,131.215
320,84.12,117.22,129.14,129.66,131.655
321,84.5,117.75,129.64,130.26,132.08
322,84.7,118.31,130.08,130.86,132.565
323,85.06,118.805,130.62,131.38,133.005
324,85.36,119.325,131.18,131.9,133.505
325,85.7,119.87,131.76,132.56,133.955
326,86.06,120.385,132.36,132.86,134.46
327,86.46,120.91,132.86,133.42,134.855
328,87.02,121.405,133.48,134,135.285
329,87.28,121.925,133.84,134.38,135.755
330,87.66,122.34,134.26,134.9,136.21
331,87.92,122.885,134.74,135.42,136.61
332,88.16,123.43,135.46,135.86,136.915
333,88.64,123.905,136.02,136.32,137.27
334,89,124.45,136.6,136.74,137.655
335,89.44,124.98,136.9,137.3,138.125
336,89.76,125.51,137.34,137.82,138.48
337,90.1,126.055,137.72,138.24,138.795
338,90.42,126.695,138.06,138.72,139.095
339,90.8,127.175,138.5,139.1,139.515
340,91.1,127.695,138.96,139.48,139.88
341,91.54,128.155,139.42,140.02,140.145
342,91.94,128.615,139.98,140.46,140.465
343,92.28,129.15,140.32,140.94,140.845
344,92.64,129.69,140.6,141.3,141.07
345,92.88,130.23,141.14,141.74,141.355
346,93.28,130.79,141.52,142.16,141.67
347,93.7,131.395,141.78,142.46,141.885
348,93.98,131.865,142.34,142.84,142.195
349,94.52,132.33,142.6,143.28,142.47
350,94.86,132.83,143.04,143.54,142.755
351,95.14,133.48,143.44,143.98,143.03
352,95.56,134.04,143.72,144.34,143.3
353,95.88,134.57,144.02,144.6,143.575
354,96.2,135.095,144.34,145.02,143.82
355,96.6,135.62,144.8,145.36,144.03
356,96.88,136.14,145.12,145.62,144.245
357,97.22,136.615,145.5,146.06,144.48
358,97.68,137.095,145.88,146.48,144.77
359,97.96,137.63,146.04,146.84,145.01
360,98.38,138.23,146.24,147.14,145.28
361,98.64,138.755,146.5,147.4,145.475
362,99.06,139.2,146.9,147.62,145.71
363,99.5,139.65,147.26,147.86,145.9
364,99.9,140.155,147.58,148.12,146.14
365,100.16,140.775,147.98,148.5,146.33
366,100.38,141.34,148.34,148.86,146.58
367,100.8,141.855,148.6,149.16,146.795
368,101.26,142.38,148.76,149.46,147.055
369,101.66,142.835,148.94,149.74,147.225
370,101.98,143.315,149.22,149.98,147.455
371,102.36,143.785,149.44,150.04,147.595
372,102.76,144.255,149.7,150.2,147.82
373,103.1,144.815,150,150.48,148.04
374,103.44,145.375,150.12,150.9,148.275
375,103.8,145.905,150.36,151.22,148.47
376,104.06,146.415,150.52,151.48,148.655
377,104.32,146.9,150.66,151.64,148.845
378,104.78,147.46,150.9,151.84,149.045
379,105.04,147.935,151.1,152.16,149.28
380,105.36,148.45,151.34,152.4,149.475
381,105.7,148.985,151.6,152.76,149.65
382,106.14,149.54,151.8,152.9,149.9
383,106.58,150.085,152,153.08,150.08
384,107.12,150.625,152.18,153.2,150.265
385,107.4,151.185,152.46,153.44,150.535
386,107.74,151.72,152.68,153.74,150.74
387,108.16,152.195,152.98,153.94,150.895
